,date,top_artists,top_1,top_2,top_3
167,2023-06-17,"['Golshifteh Farahani', 'George Michael', 'Ezra Miller']",Golshifteh Farahani,George Michael,Ezra Miller
168,2023-06-18,"['Golshifteh Farahani', 'Ezra Miller', 'XXXTentacion']",Golshifteh Farahani,Ezra Miller,XXXTentacion
169,2023-06-19,"['Ezra Miller', 'Bebe Rexha', 'Golshifteh Farahani']",Ezra Miller,Bebe Rexha,Golshifteh Farahani
170,2023-06-20,"['Bebe Rexha', 'Ezra Miller', 'Taylor Swift']",Bebe Rexha,Ezra Miller,Taylor Swift
171,2023-06-21,"['Zendaya', 'Taylor Swift', 'Golshifteh Farahani']",Zendaya,Taylor Swift,Golshifteh Farahani
172,2023-06-22,"['Taylor Swift', 'Zendaya', 'XXXTentacion']",Taylor Swift,Zendaya,XXXTentacion
173,2023-06-23,"['Arctic Monkeys', 'Kim Petras', 'Dave Grohl']",Arctic Monkeys,Kim Petras,Dave Grohl
174,2023-06-24,"[""Guns N' Roses"", 'Lewis Capaldi', 'Lizzo']",Guns N' Roses,Lewis Capaldi,Lizzo
175,2023-06-25,"['Elton John', 'Cat Stevens', 'Lewis Capaldi']",Elton John,Cat Stevens,Lewis Capaldi
176,2023-06-26,"['Elton John', 'Lewis Capaldi', 'Cat Stevens']",Elton John,Lewis Capaldi,Cat Stevens
177,2023-06-27,"['Lewis Capaldi', 'Elton John', 'Taylor Swift']",Lewis Capaldi,Elton John,Taylor Swift
178,2023-06-28,"['Lewis Capaldi', 'Madonna', 'Taylor Swift']",Lewis Capaldi,Madonna,Taylor Swift
179,2023-06-29,"['Madonna', 'Lewis Capaldi', 'Taylor Swift']",Madonna,Lewis Capaldi,Taylor Swift
180,2023-06-30,"['Taylor Swift', 'Madonna', 'XXXTentacion']",Taylor Swift,Madonna,XXXTentacion
181,2023-07-01,"['Taylor Swift', 'XXXTentacion', 'Madonna']",Taylor Swift,XXXTentacion,Madonna
182,2023-07-02,"['Taylor Swift', 'XXXTentacion', 'Alia Bhatt']",Taylor Swift,XXXTentacion,Alia Bhatt
183,2023-07-03,"['Taylor Swift', 'Jackie Chan', 'XXXTentacion']",Taylor Swift,Jackie Chan,XXXTentacion
184,2023-07-04,"['Jackie Chan', 'Taylor Swift', 'XXXTentacion']",Jackie Chan,Taylor Swift,XXXTentacion
185,2023-07-05,"['George Michael', 'Taylor Swift', 'Jackie Chan']",George Michael,Taylor Swift,Jackie Chan
186,2023-07-06,"['George Michael', 'Keke Palmer', 'Taylor Swift']",George Michael,Keke Palmer,Taylor Swift
187,2023-07-07,"['Taylor Swift', 'George Michael', 'Bob Marley']",Taylor Swift,George Michael,Bob Marley
188,2023-07-08,"['George Michael', 'Taylor Swift', 'Bee Gees']",George Michael,Taylor Swift,Bee Gees
189,2023-07-09,"['George Michael', 'Taylor Swift', 'Florence Pugh']",George Michael,Taylor Swift,Florence Pugh
190,2023-07-10,"['George Michael', 'Taylor Swift', 'Ryan Gosling']",George Michael,Taylor Swift,Ryan Gosling
